zip_code,complainant_zip_code,c2
75154,75247,1
75159,75159,3
75159,75253,3
75180,75180,1
75180,75201,1
75180,75226,1
75180,75253,1
75181,75181,3
75181,75217,1
75182,75182,1
75201,,82
75201,0,4
75201,10466,1
75201,20785,7
75201,37830,1
75201,70201,3
75201,72235,1
75201,73034,1
75201,75001,5
75201,75002,3
75201,75006,14
75201,75007,10
75201,75010,2
75201,75013,2
75201,75014,1
75201,75015,1
75201,75019,3
75201,75022,9
75201,75023,4
75201,75024,5
75201,75025,9
75201,75028,3
75201,75030,1
75201,75032,12
75201,75033,2
75201,75034,5
75201,75035,12
75201,75038,7
75201,75039,6
75201,75040,9
75201,75041,7
75201,75042,8
75201,75043,7
75201,75044,5
75201,75048,1
75201,75049,1
75201,75050,7
75201,75051,4
75201,75052,11
75201,75056,9
75201,75057,3
75201,75058,1
75201,75060,10
75201,75061,11
75201,75062,13
75201,75063,3
75201,75065,1
75201,75066,1
75201,75067,9
75201,75068,3
75201,75069,4
75201,75070,9
75201,75071,3
75201,75074,7
75201,75075,4
75201,75077,2
75201,75080,8
75201,75081,6
75201,75082,4
75201,75083,1
75201,75087,6
75201,75088,4
75201,75089,4
75201,75090,1
75201,75093,8
75201,75094,1
75201,75098,2
75201,75100,1
75201,75102,1
75201,75104,9
75201,75109,1
75201,75110,2
75201,75114,2
75201,75115,16
75201,75116,3
75201,75119,6
75201,75125,2
75201,75126,9
75201,75134,5
75201,75137,7
75201,75141,1
75201,75142,2
75201,75143,4
75201,75146,3
75201,75149,14
75201,75150,11
75201,75154,6
75201,75156,1
75201,75158,1
75201,75159,1
75201,75160,1
75201,75161,1
75201,75164,1
75201,75165,5
75201,75167,2
75201,75169,1
75201,75172,2
75201,75180,8
75201,75181,9
75201,75189,1
75201,75201,1315
75201,75202,24
75201,75203,10
75201,75204,99
75201,75205,16
75201,75206,53
75201,75207,10
75201,75208,19
75201,75209,8
75201,75210,3
75201,75211,21
75201,75212,14
75201,75213,2
75201,75214,34
75201,75215,62
75201,75216,22
75201,75217,28
75201,75218,8
75201,75219,46
75201,75220,15
75201,75223,7
75201,75224,10
75201,75225,8
75201,75226,111
75201,75227,25
75201,75228,27
75201,75229,11
75201,75230,11
75201,75231,16
75201,75232,8
75201,75233,3
75201,75234,4
75201,75235,22
75201,75236,4
75201,75237,7
75201,75238,10
75201,75240,9
75201,75241,10
75201,75242,1
75201,75243,24
75201,75244,6
75201,75245,1
75201,75246,3
75201,75247,8
75201,75248,10
75201,75249,3
75201,75251,1
75201,75252,9
75201,75253,6
75201,75254,10
75201,75261,1
75201,75282,1
75201,75287,9
75201,75289,1
75201,75301,1
75201,75313,1
75201,75382,1
75201,75402,1
75201,75403,1
75201,75407,1
75201,75423,2
75201,75424,1
75201,75428,1
75201,75442,1
75201,75454,1
75201,75459,1
75201,75460,1
75201,75476,1
75201,75494,1
75201,75495,1
75201,75503,1
75201,75568,1
75201,75602,1
75201,75603,1
75201,75605,2
75201,75650,1
75201,75652,1
75201,75702,1
75201,75703,1
75201,75756,1
75201,75773,1
75201,75833,1
75201,75936,1
75201,75949,1
75201,76001,4
75201,76002,3
75201,76006,4
75201,76008,1
75201,76009,1
75201,7601,1
75201,76010,3
75201,76011,5
75201,76012,3
75201,76013,4
75201,76014,3
75201,76015,5
75201,76016,3
75201,76017,2
75201,76018,1
75201,76021,6
75201,76023,1
75201,76026,1
75201,76034,6
75201,76039,5
75201,76040,2
75201,76051,5
75201,76052,2
75201,76053,1
75201,76054,2
75201,76058,1
75201,76063,5
75201,76065,3
75201,76084,1
75201,76086,1
75201,76087,1
75201,76092,7
75201,76093,1
75201,76101,1
75201,76102,1
75201,76105,1
75201,76106,1
75201,76107,3
75201,76108,2
75201,76109,4
75201,76110,3
75201,76112,3
75201,76116,4
75201,76117,1
75201,76118,2
75201,76119,3
75201,76120,2
75201,76123,1
75201,76126,2
75201,76133,3
75201,76137,7
75201,76139,1
75201,76140,1
75201,76148,2
75201,76155,3
75201,76162,1
75201,76177,2
75201,76179,2
75201,76180,3
75201,76182,1
75201,76201,1
75201,76205,1
75201,76208,3
75201,76225,1
75201,76226,1
75201,76227,4
75201,76241,1
75201,76244,2
75201,76248,3
75201,76258,1
75201,76262,9
75201,76271,1
75201,76308,2
75201,76450,1
75201,76458,1
75201,76502,1
75201,76513,1
75201,76531,1
75201,76542,1
75201,76544,1
75201,76626,1
75201,76645,1
75201,76706,1
75201,76710,1
75201,77006,2
75201,77007,1
75201,77008,1
75201,77019,2
75201,77025,1
75201,77027,1
75201,77032,1
75201,77035,1
75201,77041,1
75201,77049,1
75201,77055,1
75201,77062,1
75201,77064,1
75201,77107,1
75201,77302,1
75201,77379,1
75201,77380,1
75201,77401,1
75201,77406,2
75201,77437,1
75201,77450,1
75201,77478,1
75201,77479,1
75201,77498,1
75201,77521,1
75201,77537,1
75201,77619,1
75201,77802,1
75201,77845,1
75201,78101,1
75201,78202,1
75201,78217,1
75201,78239,2
75201,78247,2
75201,78259,1
75201,78336,1
75201,78373,1
75201,78411,1
75201,78501,1
75201,78503,1
75201,78613,1
75201,78626,1
75201,78641,1
75201,78657,1
75201,78664,1
75201,78666,1
75201,78672,1
75201,78704,1
75201,78733,1
75201,78746,2
75201,78753,1
75201,78754,1
75201,78759,1
75201,78782,1
75201,79065,1
75201,79416,1
75201,79423,1
75201,79424,1
75201,79603,1
75201,79606,1
75201,79705,2
75201,79707,1
75201,79843,1
75201,79849,1
75201,92277,1
75201,98253,1
75202,,45
75202,11111,1
75202,19106,1
75202,20785,7
75202,21467,1
75202,37115,1
75202,38501,1
75202,62523,1
75202,70201,3
75202,71231,1
75202,71913,1
75202,75001,1
75202,75002,6
75202,75006,6
75202,75007,3
75202,75010,3
75202,75013,2
75202,75019,4
75202,75022,1
75202,75023,4
75202,75024,4
75202,75025,4
75202,75028,3
75202,75032,2
75202,75034,7
75202,75035,4
75202,75038,3
75202,75039,2
75202,75040,9
75202,75041,3
75202,75042,5
75202,75043,5
75202,75044,4
75202,75050,7
75202,75051,6
75202,75052,13
75202,75056,3
75202,75057,1
75202,75060,6
75202,75061,10
75202,75062,7
75202,75063,5
75202,75065,1
75202,75067,3
75202,75068,2
75202,75069,1
75202,75070,6
75202,75071,3
75202,75074,6
75202,75075,5
75202,75077,4
75202,75078,1
75202,75080,4
75202,75081,4
75202,75082,1
75202,75087,5
75202,75088,2
