a.zip_code,a.year1_of_occurrence,a.day1_of_the_week,_c3
75252,2017,Thu,12
75252,2017,Tue,15
75252,2017,Wed,11
75254,2011,Sun,1
75254,2014,Wed,1
75254,2015,Fri,166
75254,2015,Mon,124
75254,2015,Sat,116
75254,2015,Sun,114
75254,2015,Thu,144
75254,2015,Tue,122
75254,2015,Wed,134
75254,2016,Fri,173
75254,2016,Mon,136
75254,2016,Sat,147
75254,2016,Sun,159
75254,2016,Thu,165
75254,2016,Tue,135
75254,2016,Wed,140
75254,2017,Fri,14
75254,2017,Mon,12
75254,2017,Sat,12
75254,2017,Sun,32
75254,2017,Thu,14
75254,2017,Tue,12
75254,2017,Wed,27
75287,2008,Tue,1
75287,2014,Mon,1
75287,2014,Tue,2
75287,2015,Fri,279
75287,2015,Mon,281
75287,2015,Sat,222
75287,2015,Sun,238
75287,2015,Thu,269
75287,2015,Tue,248
75287,2015,Wed,274
75287,2016,Fri,321
75287,2016,Mon,269
75287,2016,Sat,255
75287,2016,Sun,270
75287,2016,Thu,276
75287,2016,Tue,275
75287,2016,Wed,245
75287,2017,Fri,36
75287,2017,Mon,38
75287,2017,Sat,38
75287,2017,Sun,36
75287,2017,Thu,38
75287,2017,Tue,40
75287,2017,Wed,37
76018,2017,Thu,1
,,,
a.zip_code,a.year1_of_occurrence,a.day1_of_the_week,_c3
75019,2015,Fri,7
75019,2015,Mon,3
75019,2015,Sat,4
75019,2015,Sun,1
75019,2015,Thu,2
75019,2015,Tue,6
75019,2015,Wed,1
75019,2016,Fri,7
75019,2016,Mon,2
75019,2016,Sat,3
75019,2016,Sun,4
75019,2016,Thu,3
75019,2016,Tue,6
75019,2016,Wed,3
75019,2017,Mon,1
75019,2017,Sat,1
75019,2017,Tue,1
75024,2015,Mon,1
75032,2015,Sun,1
75041,2015,Mon,1
75042,2014,Wed,1
75042,2015,Fri,4
75042,2015,Mon,2
75042,2015,Sat,1
75042,2015,Sun,2
75042,2015,Thu,3
75042,2015,Tue,3
75042,2015,Wed,1
75042,2016,Sat,1
75042,2016,Thu,2
75042,2016,Tue,1
75042,2017,Sat,1
75051,2015,Fri,8
75051,2015,Mon,5
75051,2015,Sat,6
75051,2015,Sun,9
75051,2015,Thu,5
75051,2015,Tue,7
75051,2015,Wed,9
75051,2016,Fri,7
75051,2016,Mon,7
75051,2016,Sat,2
75051,2016,Sun,5
75051,2016,Thu,6
75051,2016,Tue,8
75051,2016,Wed,5
75051,2017,Fri,2
75051,2017,Mon,1
75082,2015,Mon,1
75087,2015,Fri,1
75134,2015,Fri,5
75134,2015,Mon,3
75134,2015,Sun,3
75134,2015,Thu,3
75134,2015,Tue,3
75134,2015,Wed,2
75134,2016,Fri,4
75134,2016,Mon,2
75134,2016,Sat,5
75134,2016,Sun,3
75134,2016,Thu,1
75134,2016,Tue,5
75134,2016,Wed,5
75134,2017,Mon,1
75134,2017,Wed,1
75141,2015,Mon,1
75180,2015,Mon,1
75180,2016,Sun,2
75180,2016,Tue,1
75182,2015,Sat,1
75201,2013,Tue,1
75201,2014,Mon,1
75201,2014,Sat,1
75201,2014,Thu,2
75201,2014,Tue,1
75201,2014,Wed,2
75201,2015,Fri,192
75201,2015,Mon,198
75201,2015,Sat,220
75201,2015,Sun,203
75201,2015,Thu,198
75201,2015,Tue,192
75201,2015,Wed,168
75201,2016,Fri,300
75201,2016,Mon,242
75201,2016,Sat,296
75201,2016,Sun,292
75201,2016,Thu,250
75201,2016,Tue,215
75201,2016,Wed,252
75201,2017,Fri,33
75201,2017,Mon,38
75201,2017,Sat,38
75201,2017,Sun,41
75201,2017,Thu,30
75201,2017,Tue,27
75201,2017,Wed,24
75202,2014,Sun,1
75202,2014,Wed,1
75202,2015,Fri,144
75202,2015,Mon,111
75202,2015,Sat,146
75202,2015,Sun,154
75202,2015,Thu,130
75202,2015,Tue,124
75202,2015,Wed,132
75202,2016,Fri,184
75202,2016,Mon,123
75202,2016,Sat,183
75202,2016,Sun,144
75202,2016,Thu,157
75202,2016,Tue,124
75202,2016,Wed,133
75202,2017,Fri,23
75202,2017,Mon,21
75202,2017,Sat,21
75202,2017,Sun,20
75202,2017,Thu,11
75202,2017,Tue,23
75202,2017,Wed,23
75203,2014,Sat,1
75203,2014,Tue,1
75203,2015,Fri,205
