a.zip_code,a.year1_of_occurrence,a.day1_of_the_week,_c3
75235,2014,Thu,1
75235,2014,Tue,1
75235,2015,Fri,197
75235,2015,Mon,203
75235,2015,Sat,201
75235,2015,Sun,182
75235,2015,Thu,183
75235,2015,Tue,215
75235,2015,Wed,202
75235,2016,Fri,232
75235,2016,Mon,225
75235,2016,Sat,218
75235,2016,Sun,207
75235,2016,Thu,221
75235,2016,Tue,225
75235,2016,Wed,233
75235,2017,Fri,34
75235,2017,Mon,17
75235,2017,Sat,31
75235,2017,Sun,25
75235,2017,Thu,23
75235,2017,Tue,30
75235,2017,Wed,36
75236,2014,Thu,1
75236,2015,Fri,130
75236,2015,Mon,120
75236,2015,Sat,109
75236,2015,Sun,92
75236,2015,Thu,118
75236,2015,Tue,113
75236,2015,Wed,104
75236,2016,Fri,142
75236,2016,Mon,152
75236,2016,Sat,136
75236,2016,Sun,130
75236,2016,Thu,113
75236,2016,Tue,149
75236,2016,Wed,125
75236,2017,Fri,15
75236,2017,Mon,16
75236,2017,Sat,14
75236,2017,Sun,23
75236,2017,Thu,21
75236,2017,Tue,13
75236,2017,Wed,21
75237,2014,Fri,2
75237,2014,Sat,1
75237,2014,Thu,1
75237,2015,Fri,309
75237,2015,Mon,309
75237,2015,Sat,319
75237,2015,Sun,308
75237,2015,Thu,306
75237,2015,Tue,296
75237,2015,Wed,286
75237,2016,Fri,379
75237,2016,Mon,344
75237,2016,Sat,384
75237,2016,Sun,372
75237,2016,Thu,334
75237,2016,Tue,350
75237,2016,Wed,327
75237,2017,Fri,44
75237,2017,Mon,45
75237,2017,Sat,38
75237,2017,Sun,45
75237,2017,Thu,37
75237,2017,Tue,50
75237,2017,Wed,40
75241,2012,Mon,1
75241,2012,Wed,1
75241,2013,Sat,1
75241,2014,Mon,2
75241,2014,Sat,2
75241,2014,Tue,2
75241,2015,Fri,328
75241,2015,Mon,302
75241,2015,Sat,304
75241,2015,Sun,261
75241,2015,Thu,294
75241,2015,Tue,312
75241,2015,Wed,291
75241,2016,Fri,455
75241,2016,Mon,400
75241,2016,Sat,372
75241,2016,Sun,313
75241,2016,Thu,381
75241,2016,Tue,372
75241,2016,Wed,375
75241,2017,Fri,58
75241,2017,Mon,61
75241,2017,Sat,62
75241,2017,Sun,49
75241,2017,Thu,56
75241,2017,Tue,42
75241,2017,Wed,43
75243,2011,Wed,1
75243,2014,Fri,4
75243,2014,Mon,3
75243,2014,Sat,2
75243,2014,Thu,2
75243,2014,Tue,1
75243,2014,Wed,2
75243,2015,Fri,596
75243,2015,Mon,570
75243,2015,Sat,543
75243,2015,Sun,524
75243,2015,Thu,589
75243,2015,Tue,563
75243,2015,Wed,568
75243,2016,Fri,788
75243,2016,Mon,650
75243,2016,Sat,682
75243,2016,Sun,606
75243,2016,Thu,673
75243,2016,Tue,623
75243,2016,Wed,702
75243,2017,Fri,87
75243,2017,Mon,80
75243,2017,Sat,85
75243,2017,Sun,71
75243,2017,Thu,82
75243,2017,Tue,83
75243,2017,Wed,72
75244,2014,Fri,1
75244,2014,Mon,1
75244,2015,Fri,65
75244,2015,Mon,57
75244,2015,Sat,49
75244,2015,Sun,51
75244,2015,Thu,48
75244,2015,Tue,52
75244,2015,Wed,54
75244,2016,Fri,81
75244,2016,Mon,81
75244,2016,Sat,83
75244,2016,Sun,62
75244,2016,Thu,65
75244,2016,Tue,66
75244,2016,Wed,69
75244,2017,Fri,11
75244,2017,Mon,11
75244,2017,Sat,8
75244,2017,Sun,6
75244,2017,Thu,15
75244,2017,Tue,12
75244,2017,Wed,6
75246,2014,Mon,1
75246,2015,Fri,39
75246,2015,Mon,26
75246,2015,Sat,26
75246,2015,Sun,25
75246,2015,Thu,33
75246,2015,Tue,34
75246,2015,Wed,30
75246,2016,Fri,48
75246,2016,Mon,32
75246,2016,Sat,32
75246,2016,Sun,33
75246,2016,Thu,41
75246,2016,Tue,28
75246,2016,Wed,36
75246,2017,Fri,2
75246,2017,Mon,6
75246,2017,Sat,5
75246,2017,Sun,4
75246,2017,Thu,6
75246,2017,Tue,5
75246,2017,Wed,7
75247,2014,Fri,1
75247,2014,Sat,1
75247,2014,Wed,1
75247,2015,Fri,159
75247,2015,Mon,138
75247,2015,Sat,148
75247,2015,Sun,141
75247,2015,Thu,137
75247,2015,Tue,139
75247,2015,Wed,153
75247,2016,Fri,183
75247,2016,Mon,147
75247,2016,Sat,170
75247,2016,Sun,177
75247,2016,Thu,177
75247,2016,Tue,139
75247,2016,Wed,153
75247,2017,Fri,27
75247,2017,Mon,16
75247,2017,Sat,19
75247,2017,Sun,35
75247,2017,Thu,29
75247,2017,Tue,23
75247,2017,Wed,24
75248,2014,Mon,3
75248,2015,Fri,115
75248,2015,Mon,90
75248,2015,Sat,101
75248,2015,Sun,101
75248,2015,Thu,117
75248,2015,Tue,105
75248,2015,Wed,110
75248,2016,Fri,155
75248,2016,Mon,131
75248,2016,Sat,143
75248,2016,Sun,124
75248,2016,Thu,150
75248,2016,Tue,154
75248,2016,Wed,154
75248,2017,Fri,16
75248,2017,Mon,20
75248,2017,Sat,24
75248,2017,Sun,17
75248,2017,Thu,13
75248,2017,Tue,15
75248,2017,Wed,16
75253,2014,Sat,1
75253,2014,Tue,2
75253,2015,Fri,107
75253,2015,Mon,139
75253,2015,Sat,115
75253,2015,Sun,128
75253,2015,Thu,127
75253,2015,Tue,125
75253,2015,Wed,107
75253,2016,Fri,171
75253,2016,Mon,122
75253,2016,Sat,152
75253,2016,Sun,129
75253,2016,Thu,143
75253,2016,Tue,144
75253,2016,Wed,149
75253,2017,Fri,12
75253,2017,Mon,19
75253,2017,Sat,17
75253,2017,Sun,20
75253,2017,Thu,17
75253,2017,Tue,22
75253,2017,Wed,18
